+--------+--------------------+-----------------+-------+------------------+
| Graph6 | Number of vertexes | Number of edges | Girth | Chromatic number |
| GEjvnk |         8          |        38       |   3   |        5         |
| GEjvn[ |         8          |        38       |   3   |        4         |
| GEjvm{ |         8          |        38       |   3   |        5         |
| GEjvl{ |         8          |        38       |   3   |        5         |
| GEjvj{ |         8          |        38       |   3   |        5         |
| GEjvn{ |         8          |        40       |   3   |        5         |
| GEjv^w |         8          |        38       |   3   |        4         |
| GEjv]{ |         8          |        38       |   3   |        4         |
| GEjvZ{ |         8          |        38       |   3   |        4         |
| GEjv^{ |         8          |        40       |   3   |        4         |
| GEju~s |         8          |        38       |   3   |        4         |
| GEju}{ |         8          |        38       |   3   |        5         |
| GEju|{ |         8          |        38       |   3   |        5         |
| GEju~{ |         8          |        40       |   3   |        5         |
| GEjt~s |         8          |        38       |   3   |        4         |
| GEjt|{ |         8          |        38       |   3   |        5         |
| GEjt~{ |         8          |        40       |   3   |        5         |
| GEjr~w |         8          |        38       |   3   |        4         |
| GEjr~s |         8          |        38       |   3   |        4         |
| GEjr}{ |         8          |        38       |   3   |        5         |
| GEjr|{ |         8          |        38       |   3   |        4         |
| GEjrz{ |         8          |        38       |   3   |        5         |
| GEjr~{ |         8          |        40       |   3   |        5         |
| GEjv~{ |         8          |        42       |   3   |        5         |
| GEj\s{ |         8          |        34       |   3   |        4         |
| GEj\q{ |         8          |        34       |   3   |        4         |
| GEj\vw |         8          |        36       |   3   |        4         |
| GEj\u{ |         8          |        36       |   3   |        4         |
| GEj\r{ |         8          |        36       |   3   |        4         |
